Subject ID,Trial01_Error,Trial02_Error,Trial03_Error,Trial04_Error*,Trial05_Error,Trial06_Error,Trial07_Error*,Trial08_Error,Trial09_Error*,Trial10_Error,Trial11_Error,Trial12_Error*,Trial13_Error,Trial14_Error,Trial15_Error*,Trial16_Error,Trial17_Error*,Trial18_Error,Conformity Error,Non-Conformity Error,Conmformity Index
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,6,0,6
3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,2
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2
7,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,6,0,6
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1
9,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,5,0,5
10,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,6,0,6
11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,3
13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2
15,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,4
16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,-1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,4,1,3
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,-1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,6,0,6
23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,3,-1
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,3
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2
36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
